Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,950,0.9168421052631579,0.9252631578947368,0.9768421052631578,0.9757894736842105
GPE,238,0.8781512605042017,0.8991596638655462,0.9537815126050421,0.9621848739495799
ORG,227,0.8898678414096917,0.9427312775330396,0.9691629955947136,0.9559471365638766
NORP,49,0.7346938775510204,0.7959183673469388,0.8571428571428571,0.9183673469387755
LOC,38,0.7894736842105263,0.7894736842105263,0.8947368421052632,0.868421052631579
WORK_OF_ART,13,0.9230769230769231,0.9230769230769231,1.0,1.0
FAC,12,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666
PRODUCT,9,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0
EVENT,7,0.8571428571428571,0.8571428571428571,1.0,1.0
LAW,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
LANGUAGE,2,0.5,0.5,0.5,0.5
Overall,1548,0.8959948320413437,0.9140826873385013,0.9651162790697675,0.9651162790697675
