Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,293,0.2627986348122867,0.9385665529010239,0.310580204778157,0.863481228668942
ORG,293,0.23208191126279865,0.9215017064846417,0.27303754266211605,0.8805460750853242
FAC,10,0.4,1.0,0.4,0.9
NORP,19,0.5789473684210527,0.9473684210526315,0.5789473684210527,0.7368421052631579
unknown,248,0.28225806451612906,0.8629032258064516,0.3185483870967742,0.8064516129032258
multiple,903,0.1937984496124031,0.9545957918050941,0.28792912513842744,0.9125138427464009
CARDINAL,47,0.2978723404255319,0.8723404255319149,0.3191489361702128,0.851063829787234
GPE,34,0.08823529411764706,0.6470588235294118,0.29411764705882354,0.9705882352941176
WORK_OF_ART,18,0.2222222222222222,1.0,0.3888888888888889,0.8888888888888888
DATE,36,0.3888888888888889,0.8333333333333334,0.5277777777777778,0.8055555555555556
EVENT,5,0.2,0.6,0.4,0.8
LOC,9,0.1111111111111111,0.7777777777777778,0.2222222222222222,1.0
MONEY,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
PERCENT,2,0.5,1.0,0.5,0.5
ORDINAL,1,1.0,1.0,1.0,1.0
QUANTITY,2,0.5,0.5,0.5,0.5
PRODUCT,10,0.1,0.8,0.1,1.0
TIME,2,0.5,1.0,0.5,0.5
LANGUAGE,1,0.0,1.0,0.0,1.0
LAW,2,0.0,1.0,0.0,1.0
Overall,1938,0.23168214654282765,0.9231166150670794,0.3028895768833849,0.8813209494324046
