Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,293,0.9112627986348123,0.9180887372013652,0.9692832764505119,0.9761092150170648
ORG,293,0.89419795221843,0.9249146757679181,0.9488054607508533,0.9419795221843004
FAC,10,1.0,1.0,1.0,1.0
NORP,19,0.8421052631578947,0.8947368421052632,1.0,0.9473684210526315
unknown,248,0.8306451612903226,0.8588709677419355,0.9193548387096774,0.8911290322580645
multiple,903,0.9357696566998892,0.9479512735326688,0.9745293466223699,0.964562569213732
CARDINAL,47,0.8936170212765957,0.9361702127659575,0.9361702127659575,0.851063829787234
GPE,34,0.7352941176470589,0.7647058823529411,0.9117647058823529,0.8823529411764706
WORK_OF_ART,18,0.9444444444444444,1.0,1.0,1.0
DATE,36,0.8888888888888888,0.8888888888888888,1.0,0.9444444444444444
EVENT,5,0.6,0.6,0.6,0.8
LOC,9,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.8888888888888888
MONEY,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
PERCENT,2,0.5,0.5,0.5,0.0
ORDINAL,1,0.0,0.0,1.0,1.0
QUANTITY,2,1.0,1.0,1.0,1.0
PRODUCT,10,0.8,0.9,0.7,0.7
TIME,2,1.0,1.0,1.0,0.5
LANGUAGE,1,0.0,0.0,1.0,1.0
LAW,2,1.0,1.0,1.0,1.0
Overall,1938,0.9014447884416925,0.9200206398348814,0.958204334365325,0.9447884416924665
