Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,950,0.29578947368421055,0.8768421052631579,0.3178947368421053,0.7652631578947369
GPE,238,0.226890756302521,0.8781512605042017,0.24789915966386555,0.8361344537815126
ORG,227,0.20704845814977973,0.8722466960352423,0.2422907488986784,0.8502202643171806
NORP,49,0.22448979591836735,0.5714285714285714,0.22448979591836735,0.7142857142857143
LOC,38,0.18421052631578946,0.7105263157894737,0.2631578947368421,0.9210526315789473
WORK_OF_ART,13,0.46153846153846156,0.8461538461538461,0.46153846153846156,0.6923076923076923
FAC,12,0.4166666666666667,0.9166666666666666,0.4166666666666667,0.6666666666666666
PRODUCT,9,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.8888888888888888
EVENT,7,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.8571428571428571
LAW,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
LANGUAGE,2,0.0,0.0,0.0,0.5
Overall,1548,0.2680878552971576,0.8591731266149871,0.2926356589147287,0.7900516795865633
