Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,950,0.4473684210526316,0.9336842105263158,0.47368421052631576,0.7136842105263158
GPE,238,0.29411764705882354,0.8739495798319328,0.3319327731092437,0.8109243697478992
ORG,227,0.29955947136563876,0.8898678414096917,0.3303964757709251,0.8193832599118943
NORP,49,0.30612244897959184,0.6938775510204082,0.3673469387755102,0.7346938775510204
LOC,38,0.34210526315789475,0.7631578947368421,0.39473684210526316,0.7894736842105263
WORK_OF_ART,13,0.5384615384615384,0.9230769230769231,0.5384615384615384,0.6923076923076923
FAC,12,0.3333333333333333,0.75,0.4166666666666667,0.6666666666666666
PRODUCT,9,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.7777777777777778
EVENT,7,0.42857142857142855,1.0,0.7142857142857143,0.5714285714285714
LAW,3,0.0,0.3333333333333333,0.0,0.6666666666666666
LANGUAGE,2,0.0,0.5,0.0,1.0
Overall,1548,0.3921188630490956,0.9018087855297158,0.42377260981912146,0.7461240310077519
